question_id,question,choice,choice_text,selected_group,main_radar_item,オフェンス,シュート,,,パス,,フィジカル,,ディフェンス,,,,ヘディング,,スピード,,ドリブル,,
GK,GK_Q06,相手のミドルシュートへの対応は？,B,打たれる前に位置を取る,守備意識,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
GK,GK_Q06,相手のミドルシュートへの対応は？,C,強いボールを弾き返す,フィジカル,1,1,1,1,1,1,9,1,1,1,1,1,1,9,1,1,1,1,1
GK,GK_Q06,相手のミドルシュートへの対応は？,D,コースを読んで準備する,ディフェンスセンス,1,1,1,1,1,1,1,1,9,1,1,4,1,1,1,1,1,1,1
GK,GK_Q07,ゴールキックで狙いたい場所は？,A,味方CBへ短くつなぐ,グランダーパス,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,10,1,1
GK,GK_Q07,ゴールキックで狙いたい場所は？,B,サイド裏へ大きく蹴る,フライパス,1,1,1,62,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1
GK,GK_Q07,ゴールキックで狙いたい場所は？,C,CFの頭を狙う,フライパス,1,1,1,1,1,9,4,1,1,1,1,1,12,1,1,1,1,1,1
GK,GK_Q07,ゴールキックで狙いたい場所は？,D,安全に空いた場所へ出す,守備意識,1,1,1,1,7,1,1,1,1,1,1,4,1,1,1,1,1,1,1
GK,GK_Q08,セービング後の次の動きは？,A,すぐ攻撃へつなげる,オフェンスセンス,35,1,1,1,7,1,1,1,1,1,1,1,1,1,1,4,1,1,1
GK,GK_Q08,セービング後の次の動きは？,B,確実にボールを抱える,ボールキープ,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,15
GK,GK_Q08,セービング後の次の動きは？,C,味方の位置を確認する,守備意識,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1
GK,GK_Q08,セービング後の次の動きは？,D,大きく外へ逃がす,フライパス,1,1,1,1,1,9,1,1,1,1,1,4,1,1,1,1,1,1,1
GK,GK_Q09,PKの場面で近い考えは？,A,相手の動きを最後まで見る,ディフェンスセンス,1,1,1,1,1,1,1,1,9,1,1,4,1,1,1,1,1,1,1
GK,GK_Q09,PKの場面で近い考えは？,B,思い切って先に飛ぶ,瞬発力,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,1
GK,GK_Q09,PKの場面で近い考えは？,C,心理的にプレッシャーをかける,アグレッシブネス,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1
GK,GK_Q09,PKの場面で近い考えは？,D,データを信じてコースを読む,守備意識,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
GK,GK_Q10,足元でプレッシャーを受けた時は？,A,ワンタッチで逃がす,グランダーパス,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,13,1,1
GK,GK_Q10,足元でプレッシャーを受けた時は？,B,相手をかわして運ぶ,ドリブル,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,62,1
GK,GK_Q10,足元でプレッシャーを受けた時は？,C,無理せず外へ蹴る,守備意識,1,1,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1,1,1
GK,GK_Q10,足元でプレッシャーを受けた時は？,D,体を使ってキープする,フィジカル,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,12
GK,GK_Q11,雨の日の試合で意識することは？,A,ボールをこぼさない,ボールキープ,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,13
GK,GK_Q11,雨の日の試合で意識することは？,B,早めにポジションを取る,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
GK,GK_Q11,雨の日の試合で意識することは？,C,低いシュートに強く反応する,瞬発力,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,7,1,1,1
GK,GK_Q11,雨の日の試合で意識することは？,D,キックをシンプルにする,フライパス,1,1,1,1,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1
GK,GK_Q12,守備範囲を広げる時に必要なのは？,A,背後へ出る判断,ディフェンスセンス,1,1,1,1,1,1,1,1,9,1,1,1,1,1,13,1,1,1,1
GK,GK_Q12,守備範囲を広げる時に必要なのは？,B,素早い飛び出し,スピード,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,5,1,1,1
GK,GK_Q12,守備範囲を広げる時に必要なのは？,C,相手より先に触る強さ,フィジカル,1,1,1,1,1,1,9,1,1,1,10,1,1,1,1,1,1,1,1
GK,GK_Q12,守備範囲を広げる時に必要なのは？,D,リスクを見極める冷静さ,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
GK,GK_Q13,コーナーキックの守備での役割は？,A,高い位置でキャッチする,ジャンプ力,1,1,1,1,1,1,1,1,1,1,1,1,15,12,1,1,1,1,1
GK,GK_Q13,コーナーキックの守備での役割は？,B,味方へ明確に指示する,守備意識,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
GK,GK_Q13,コーナーキックの守備での役割は？,C,密集で体を張る,フィジカル,1,1,1,1,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1
GK,GK_Q13,コーナーキックの守備での役割は？,D,こぼれ球に反応する,瞬発力,1,1,1,1,1,1,1,1,1,23,1,1,1,1,1,7,1,1,1
GK,GK_Q14,試合終盤にリードしている時は？,A,安全に時間を使う,守備意識,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,10
GK,GK_Q14,試合終盤にリードしている時は？,B,ロングボールで陣地回復,フライパス,1,1,1,1,1,10,4,1,1,1,1,1,1,1,1,1,1,1,1
GK,GK_Q14,試合終盤にリードしている時は？,C,DFラインを高く保つ,ディフェンスセンス,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,1,1
GK,GK_Q14,試合終盤にリードしている時は？,D,カウンターの起点になる,オフェンスセンス,35,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GK,GK_Q15,GKとして一番伸ばしたい武器は？,A,反応速度,瞬発力,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,9,1,1,1
GK,GK_Q15,GKとして一番伸ばしたい武器は？,B,足元の安定感,ボールコントロール,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,20,1,1
GK,GK_Q15,GKとして一番伸ばしたい武器は？,C,空中戦の強さ,ジャンプ力,1,1,1,1,1,1,1,1,1,1,1,1,15,12,1,1,1,1,1
GK,GK_Q15,GKとして一番伸ばしたい武器は？,D,守備の統率力,守備意識,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
GK,GK_Q16,強い相手と戦う時のGK像は？,A,何本も止める守護神,瞬発力,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,1
GK,GK_Q16,強い相手と戦う時のGK像は？,B,後ろから組み立てるGK,グランダーパス,1,1,1,1,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1
GK,GK_Q16,強い相手と戦う時のGK像は？,C,広い範囲を守るGK,スピード,1,1,1,1,1,1,1,1,5,1,1,1,1,1,19,1,1,1,1
GK,GK_Q16,強い相手と戦う時のGK像は？,D,声でチームを動かすGK,守備意識,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
GK,GK_Q17,相手FWがプレスをかけてきたら？,A,冷静に横パスで逃がす,グランダーパス,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GK,GK_Q17,相手FWがプレスをかけてきたら？,B,ロングボールで回避する,フライパス,1,1,1,1,1,12,4,1,1,1,1,1,1,1,1,1,1,1,1
GK,GK_Q17,相手FWがプレスをかけてきたら？,C,相手を引きつけてから出す,ボールキープ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,13
GK,GK_Q17,相手FWがプレスをかけてきたら？,D,無理なら外へ出す,守備意識,1,1,1,1,1,4,1,1,1,1,1,5,1,1,1,1,1,1,1
GK,GK_Q18,練習で重点的に磨きたい場面は？,A,低いシュートへの反応,瞬発力,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,9,1,1,1
GK,GK_Q18,練習で重点的に磨きたい場面は？,B,クロスへの飛び出し,ジャンプ力,1,1,1,1,1,1,1,1,1,1,1,1,12,12,1,1,1,1,1
GK,GK_Q18,練習で重点的に磨きたい場面は？,C,キックの精度,フライパス,1,1,1,1,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1
GK,GK_Q18,練習で重点的に磨きたい場面は？,D,守備の声かけ,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
GK,GK_Q19,味方がミスした直後の対応は？,A,すぐカバーへ出る,スピード,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,5,1,1,1
GK,GK_Q19,味方がミスした直後の対応は？,B,落ち着かせる声を出す,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
GK,GK_Q19,味方がミスした直後の対応は？,C,体を張って止める,フィジカル,1,1,1,1,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1
GK,GK_Q19,味方がミスした直後の対応は？,D,次のパス先を探す,グランダーパス,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,10,1,1
GK,GK_Q20,理想のGKプレーに近いものは？,A,スーパーセーブで救う,瞬発力,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,9,1,1,1
GK,GK_Q20,理想のGKプレーに近いものは？,B,安定した判断で守る,守備意識,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
GK,GK_Q20,理想のGKプレーに近いものは？,C,正確なキックで攻撃参加,フライパス,1,1,1,1,7,10,1,1,1,1,1,1,1,1,1,1,1,1,1
GK,GK_Q20,理想のGKプレーに近いものは？,D,空中戦を支配する,ジャンプ力,1,1,1,1,1,1,1,1,1,1,1,1,19,12,1,1,1,1,1
DEFENSE,DEFENSE_Q01,守備で最初に止めたい相手の動きは？,A,縦への突破,ディフェンスセンス,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q01,守備で最初に止めたい相手の動きは？,B,体を入れたキープ,フィジカル,1,1,1,1,1,1,9,1,1,4,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q01,守備で最初に止めたい相手の動きは？,C,裏への抜け出し,スピード,1,1,1,1,1,1,1,1,1,1,1,4,1,1,12,1,1,1,1
DEFENSE,DEFENSE_Q01,守備で最初に止めたい相手の動きは？,D,空中へのロングボール,ヘディング,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1
DEFENSE,DEFENSE_Q02,ボールを奪う時の得意な形は？,A,タイミングよく足を出す,ボール奪取,1,1,1,1,1,1,1,1,4,7,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q02,ボールを奪う時の得意な形は？,B,体を当てて奪い切る,フィジカル,1,1,1,1,1,1,9,1,1,1,7,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q02,ボールを奪う時の得意な形は？,C,パスコースを読んで奪う,守備意識,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q02,ボールを奪う時の得意な形は？,D,前に出て強く寄せる,アグレッシブネス,1,1,1,1,1,1,1,1,1,4,10,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q03,ビルドアップで選びたいプレーは？,A,縦パスを差し込む,グランダーパス,35,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q03,ビルドアップで選びたいプレーは？,B,逆サイドへ大きく展開,フライパス,1,1,1,62,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q03,ビルドアップで選びたいプレーは？,C,持ち上がって相手を引きつける,ボールキープ,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,23,29
DEFENSE,DEFENSE_Q03,ビルドアップで選びたいプレーは？,D,安全に近くへ預ける,守備意識,1,1,1,1,7,1,1,1,1,1,1,4,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q04,相手FWと競り合う時は？,A,先に体を入れる,フィジカル,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q04,相手FWと競り合う時は？,B,ジャンプで上回る,ジャンプ力,1,1,1,1,1,1,1,1,1,1,1,1,5,14,1,1,1,1,1
DEFENSE,DEFENSE_Q04,相手FWと競り合う時は？,C,落下点を読む,ヘディング,1,1,1,1,1,1,1,1,4,1,1,1,9,1,1,1,1,1,1
DEFENSE,DEFENSE_Q04,相手FWと競り合う時は？,D,こぼれ球まで反応する,ボール奪取,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,21,1,1,1
DEFENSE,DEFENSE_Q05,ラインコントロールで大事にすることは？,A,背後のスペース管理,守備意識,1,1,1,1,1,1,1,1,1,1,1,5,1,1,7,1,1,1,1
DEFENSE,DEFENSE_Q05,ラインコントロールで大事にすることは？,B,味方との距離感,ディフェンスセンス,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q05,ラインコントロールで大事にすることは？,C,前へ押し上げる強さ,アグレッシブネス,1,1,1,1,1,1,1,1,4,1,9,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q05,ラインコントロールで大事にすることは？,D,空中戦に備える位置取り,ヘディング,1,1,1,1,1,1,1,1,1,1,1,1,5,7,1,1,1,1,1
DEFENSE,DEFENSE_Q06,サイドからクロスを上げられそうな時は？,A,寄せて上げさせない,アグレッシブネス,1,1,1,1,1,1,1,1,1,1,10,1,1,1,9,1,1,1,1
DEFENSE,DEFENSE_Q06,サイドからクロスを上げられそうな時は？,B,中のマークを確認する,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q06,サイドからクロスを上げられそうな時は？,C,クロスを跳ね返す準備,ヘディング,1,1,1,1,1,1,1,1,1,1,1,1,9,7,1,1,1,1,1
DEFENSE,DEFENSE_Q06,サイドからクロスを上げられそうな時は？,D,こぼれ球を拾う準備,ボール奪取,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q07,カウンターを受けた時の対応は？,A,一気に戻って追いつく,スピード,1,1,1,1,1,1,1,25,1,1,1,1,1,1,15,1,1,1,1
DEFENSE,DEFENSE_Q07,カウンターを受けた時の対応は？,B,遅らせて味方を待つ,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q07,カウンターを受けた時の対応は？,C,強く当たって止める,フィジカル,1,1,1,1,1,1,7,1,1,1,9,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q07,カウンターを受けた時の対応は？,D,パスコースを切る,ディフェンスセンス,1,1,1,1,1,1,1,1,7,4,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q08,試合中に狙いたい守備の見せ場は？,A,決定的なタックル,ボール奪取,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q08,試合中に狙いたい守備の見せ場は？,B,空中戦の勝利,ヘディング,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1
DEFENSE,DEFENSE_Q08,試合中に狙いたい守備の見せ場は？,C,完璧なカバーリング,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q08,試合中に狙いたい守備の見せ場は？,D,前線への正確なパス,フライパス,1,1,1,1,5,14,1,1,1,1,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q09,相手が背負って受けた時は？,A,体を密着させる,フィジカル,1,1,1,1,1,1,9,1,1,1,5,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q09,相手が背負って受けた時は？,B,反転する方向を読む,ディフェンスセンス,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q09,相手が背負って受けた時は？,C,一気に奪いに行く,ボール奪取,1,1,1,1,1,1,1,1,1,7,5,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q09,相手が背負って受けた時は？,D,ファウルせず待つ,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q10,ロングボール対応で得意なのは？,A,競り勝って跳ね返す,ヘディング,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1
DEFENSE,DEFENSE_Q10,ロングボール対応で得意なのは？,B,相手より先に落下点へ入る,ディフェンスセンス,1,1,1,1,1,1,1,1,7,1,1,1,1,1,9,1,1,1,1
DEFENSE,DEFENSE_Q10,ロングボール対応で得意なのは？,C,セカンドボールを拾う,ボール奪取,1,1,1,1,1,1,1,1,1,5,1,4,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q10,ロングボール対応で得意なのは？,D,安全に外へ逃がす,守備意識,1,1,1,1,1,4,1,1,1,1,1,5,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q11,守備から攻撃へ切り替える時は？,A,すぐ縦へ入れる,グランダーパス,35,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q11,守備から攻撃へ切り替える時は？,B,大きく裏へ蹴る,フライパス,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,1
DEFENSE,DEFENSE_Q11,守備から攻撃へ切り替える時は？,C,ドリブルで前進する,ドリブル,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,25
DEFENSE,DEFENSE_Q11,守備から攻撃へ切り替える時は？,D,一度落ち着かせる,ボールキープ,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,29
DEFENSE,DEFENSE_Q12,理想のCB・守備型選手に近いのは？,A,対人で負けない選手,フィジカル,1,1,1,1,1,1,9,1,1,4,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q12,理想のCB・守備型選手に近いのは？,B,読みで守る選手,ディフェンスセンス,1,1,1,1,1,1,1,1,9,1,1,4,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q12,理想のCB・守備型選手に近いのは？,C,空中戦を支配する選手,ヘディング,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1
DEFENSE,DEFENSE_Q12,理想のCB・守備型選手に近いのは？,D,後ろから配球する選手,グランダーパス,1,1,1,1,12,7,1,1,1,1,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q13,前からプレスをかける時は？,A,相手に強く寄せる,アグレッシブネス,1,1,1,1,1,1,1,25,1,1,12,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q13,前からプレスをかける時は？,B,パスコースを限定する,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q13,前からプレスをかける時は？,C,奪ったらすぐ展開する,グランダーパス,1,1,1,1,10,1,1,1,1,4,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q13,前からプレスをかける時は？,D,スピードで追い込む,スピード,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,1,1,1
DEFENSE,DEFENSE_Q14,ペナルティエリア内の守備で意識することは？,A,シュートコースを消す,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q14,ペナルティエリア内の守備で意識することは？,B,体を投げ出してブロック,フィジカル,1,1,1,1,1,1,7,1,1,1,7,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q14,ペナルティエリア内の守備で意識することは？,C,こぼれ球を先に触る,ボール奪取,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,15,1,1,1
DEFENSE,DEFENSE_Q14,ペナルティエリア内の守備で意識することは？,D,クロスを跳ね返す,ヘディング,1,1,1,1,1,1,1,1,1,1,1,1,9,7,1,1,1,1,1
DEFENSE,DEFENSE_Q15,相手の速いFWに対応するには？,A,スピードで追う,スピード,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,1,1,1
DEFENSE,DEFENSE_Q15,相手の速いFWに対応するには？,B,先に距離を取る,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q15,相手の速いFWに対応するには？,C,体でコースを塞ぐ,フィジカル,1,1,1,1,1,1,7,1,4,1,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q15,相手の速いFWに対応するには？,D,味方と挟んで奪う,ボール奪取,1,1,1,1,1,1,1,1,1,5,1,4,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q16,守備練習で一番伸ばしたいのは？,A,1対1の強さ,ボール奪取,1,1,1,1,1,1,4,1,1,7,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q16,守備練習で一番伸ばしたいのは？,B,カバーリング,守備意識,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q16,守備練習で一番伸ばしたいのは？,C,空中戦,ヘディング,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1
DEFENSE,DEFENSE_Q16,守備練習で一番伸ばしたいのは？,D,ビルドアップ,グランダーパス,1,1,1,1,12,7,1,1,1,1,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q17,味方が攻めている時の立ち位置は？,A,カウンターに備える,守備意識,1,1,1,1,1,1,1,1,1,1,1,5,1,1,7,1,1,1,1
DEFENSE,DEFENSE_Q17,味方が攻めている時の立ち位置は？,B,セカンドボールを狙う,ボール奪取,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q17,味方が攻めている時の立ち位置は？,C,前へ押し上げる,アグレッシブネス,1,1,1,1,1,1,1,25,1,1,9,1,1,1,1,1,1,1,1
DEFENSE,DEFENSE_Q17,味方が攻めている時の立ち位置は？,D,展開の準備をする,フライパス,1,1,1,1,7,13,1,1,1,1,1,1,1,1,1,1,1,1,1
